Discount Factor,Last Prices (Firm A)
0.1,11
0.1,11
0.1,11
0.1,12
0.1,12
0.1,12
0.1,12
0.1,13
0.1,11
0.1,13
0.1,10
0.1,11
0.1,11
0.1,12
0.1,12
0.1,14
0.1,10
0.1,10
0.1,13
0.1,12
0.1,11
0.1,11
0.1,11
0.1,11
0.1,11
0.1,10
0.1,11
0.1,13
0.1,11
0.1,12
0.1,11
0.1,11
0.1,11
0.1,13
0.1,10
0.1,14
0.1,12
0.1,15
0.1,15
0.1,11
0.1,12
0.1,11
0.1,12
0.1,10
0.1,12
0.1,11
0.1,11
0.1,11
0.1,12
0.1,10
0.5,14
0.5,13
0.5,12
0.5,12
0.5,15
0.5,11
0.5,12
0.5,12
0.5,14
0.5,11
0.5,13
0.5,12
0.5,12
0.5,11
0.5,11
0.5,13
0.5,11
0.5,11
0.5,11
0.5,11
0.5,12
0.5,12
0.5,14
0.5,17
0.5,11
0.5,14
0.5,10
0.5,13
0.5,12
0.5,12
0.5,15
0.5,10
0.5,11
0.5,12
0.5,16
0.5,12
0.5,18
0.5,10
0.5,11
0.5,11
0.5,12
0.5,12
0.5,11
0.5,11
0.5,11
0.5,12
0.5,12
0.5,12
0.5,12
0.5,11
0.98,36
0.98,38
0.98,37
0.98,29
0.98,39
0.98,34
0.98,33
0.98,36
0.98,41
0.98,32
0.98,32
0.98,36
0.98,40
0.98,36
0.98,30
0.98,30
0.98,43
0.98,22
0.98,37
0.98,35
0.98,33
0.98,33
0.98,30
0.98,33
0.98,26
0.98,33
0.98,33
0.98,28
0.98,26
0.98,36
0.98,28
0.98,37
0.98,35
0.98,37
0.98,39
0.98,41
0.98,33
0.98,34
0.98,38
0.98,35
0.98,31
0.98,34
0.98,35
0.98,37
0.98,32
0.98,35
0.98,34
0.98,37
0.98,37
0.98,33
